HE provider,Country of HE provider,Level of study,Mode of study,Category marker,Category,Number
University of Gloucestershire,England,All,All,Total,Total,7915
University of Gloucestershire,England,All,Full-time,Total,Total,6690
University of Gloucestershire,England,All,Part-time,Total,Total,1225
Glyndŵr University,Wales,All,All,Domicile,Total Non-UK,575
Glyndŵr University,Wales,All,All,Total,Total,6045
Glyndŵr University,Wales,All,Full-time,Total,Total,2750
Glyndŵr University,Wales,All,Part-time,Total,Total,3295
Goldsmiths College,England,All,All,Domicile,Total Non-UK,2875
Goldsmiths College,England,All,All,Total,Total,10090
Goldsmiths College,England,All,Full-time,Total,Total,8790
Goldsmiths College,England,All,Part-time,Total,Total,1300
Gower College Swansea,Wales,All,All,Domicile,Total Non-UK,0
Gower College Swansea,Wales,All,All,Total,Total,110
Gower College Swansea,Wales,All,Full-time,Total,Total,0
Gower College Swansea,Wales,All,Part-time,Total,Total,110
The University of Greenwich,England,All,All,Domicile,Total Non-UK,5105
The University of Greenwich,England,All,All,Total,Total,19825
The University of Greenwich,England,All,Full-time,Total,Total,15830
The University of Greenwich,England,All,Part-time,Total,Total,3995
Guildhall School of Music and Drama,England,All,All,Domicile,Total Non-UK,330
Guildhall School of Music and Drama,England,All,All,Total,Total,1060
Guildhall School of Music and Drama,England,All,Full-time,Total,Total,980
Guildhall School of Music and Drama,England,All,Part-time,Total,Total,75
Harper Adams University,England,All,All,Domicile,Total Non-UK,265
Harper Adams University,England,All,All,Total,Total,4680
Harper Adams University,England,All,Full-time,Total,Total,2460
Harper Adams University,England,All,Part-time,Total,Total,2220
Hartpury University,England,All,All,Domicile,Total Non-UK,155
Hartpury University,England,All,All,Total,Total,1995
Hartpury University,England,All,Full-time,Total,Total,1765
Hartpury University,England,All,Part-time,Total,Total,230
Heriot-Watt University,Scotland,All,All,Domicile,Total Non-UK,3335
Heriot-Watt University,Scotland,All,All,Total,Total,11155
Heriot-Watt University,Scotland,All,Full-time,Total,Total,9550
Heriot-Watt University,Scotland,All,Part-time,Total,Total,1605
University of Hertfordshire,England,All,All,Domicile,Total Non-UK,6325
University of Hertfordshire,England,All,All,Total,Total,25520
University of Hertfordshire,England,All,Full-time,Total,Total,19625
University of Hertfordshire,England,All,Part-time,Total,Total,5900
The University of Huddersfield,England,All,All,Domicile,Total Non-UK,3280
The University of Huddersfield,England,All,All,Total,Total,17305
The University of Huddersfield,England,All,Full-time,Total,Total,14350
The University of Huddersfield,England,All,Part-time,Total,Total,2955
The University of Hull,England,All,All,Domicile,Total Non-UK,1950
The University of Hull,England,All,All,Total,Total,14255
The University of Hull,England,All,Full-time,Total,Total,12475
The University of Hull,England,All,Part-time,Total,Total,1780
